Символ,Код
.В,11111000100011011110
.И,111110001001101100110
.Н,11111000100001111100
.О,11111000100011101101
.С,111110001001100000010
.У,111110001001011100000
.в,111110001001011011000
.д,1010100001010001010
.к,111110001001010110101
.р,111110001001001100000
.с,11111000100000100000
0 ,11000000110101
0!,111110001001001101110
"0,",011011010110001010
0.,11111000100010011111
00,011101001010001
05,11100111000001001
06,101010000100100000
07,1010100001010010111
08,11111000100001110010
09,111101101110111001
0–,111110001001010110011
1\r,1111011011111101101
1 ,11010011001110000
1),011011010100110010
"1,",111110001001010111001
1.,111110001001011101110
10,1111011010110111
11,1111011011111111000
12,00111111010011100
13,011011010100100011
14,1111011011111010010
15,10100111111100110
16,101010000100110101
17,1111011011111110110
18,101101111000011
19,110100111000101100
2\r,111110001001100101111
2 ,1000000100011010
2),011011010110001001
20,11010011001111100
21,011011010110010110
22,111110001001000101111
23,11111000100010111100
24,1111100010000000110
25,1111011011111010101
26,111110001001000000100
27,1010100001011001100
28,1010100001001110000
3 ,1110001111000111
3),011011010100100000
30,11010011001111101
31,11111000100001101001
3а,00000011000000000110
3д,111110001001011000110
4 ,0001001111000110
4),11111000100000110000
4.,00010011111100110101
40,10001001110110010
43,1111011011111001100
5 ,000000110011001
5),00000011000000011100
50,10001001110111110
54,111110001001010011101
6 ,1101001010110001
6),111110001001100010010
6.,111110001001000110110
60,101001111111111110
68,1010100001010011000
7 ,0101110100110001
7),111110001001100010000
70,101010000100001110
73,1010100001010110010
8 ,0101100000111010
80,100010010011110
81,1111011011111001111
86,111101101111000010
87,1010100001011011111
88,011011010100111001
9 ,1001010111010111
:\r,11001001100001
: ,01100010111
:],011011010110010111
;\r,11111000100010010010
; ,11011001101
;],1010100001010010110
;q,111110001001101100001
?\r,000110111010
? ,0100101011
?!,01100111101110000
?.,11111000100011100101
?],1111011010111000
?u,11111000100000100001
?»,10001001000101
?Д,111110001001011111101
?“,1010100001010001100
?…,01110000010110
A ,110100111000101101
A!,11111000100010001101
A?,111110001001001011000
AI,111110001001011101000
Ab,111110001001001101010
Ac,111110001001000000101
Ad,110100111000110000
Ah,1100100111100001
Al,11010011001111000
Am,11111000100001010100
An,011101001010010
Ap,111101101111010001
Ar,1011000101011000010
At,1111011011110110111
Au,11100111000001010
Av,111110001001010100010
Ax,1111011011110110110
Ay,111110001001001110101
Aн,111110001001000100000
BT,111110001001011010111
Ba,00111111011001111
Be,110100111000101110
Bi,11111000100001010010
Bo,11010001011101
Br,1010100001011001011
Bu,101010000100011110
Bи,111110001001011011101
Bо,111110001001100110100
C',1111011010111111
Ca,011011010110011010
Ce,11110110111000110
Ch,11000000110100010
Co,11100011110110101
Da,011011010100011110
De,00111111010011000
Di,1100100110100111
Do,101010000100011010
Du,110100111000011000
Ec,111110001001101001001
Eh,101010000100000101
El,1111011011111111111
Em,11100011110110011
En,1010100001011011100
Er,00000011000000000011
Et,0011111101000001
Eu,11111000100011000101
Ev,111110001001011100011
Fa,111110001001010100100
Fe,110100111000000011
Fi,11111000100001011011
Fl,101010000100010001
Fo,111110001001100011010
Fr,1111011011111110000
Fu,111110001001010000010
Ge,0101100000111011
Gl,111110001001100110011
Go,00010011111100110011
Gr,111110001001010010100
Ha,111110001000111101011
He,011011010100011111
Hi,11111000100010000010
Ho,1111011011111110010
Hy,11111000100000010001
Hа,111110001001001010000
Hе,111110001001001110010
I\r,11000011001100
I ,11000000000011011
"I,",11111000100000011001
II,11010011000110
IV,0001001110111011
IX,11010011001111110
Ii,111110001001101011100
Il,1111011010110110
Iv,111110001000111110101
J',10100111111100010
J`,111110001001001010010
Ja,11111000100001100110
Je,101110010001010
Jo,111110001001000000001
Ju,101010000100011011
Ka,1010100001011000101
Ko,00111111011000010
Kr,11111000100010100001
L',00111111010010010
La,11110110111010001
Le,101100010111111
Li,0001001110111100
Lo,1111011011111011001
Lu,1111011011111111011
M ,0101100010100100
M.,110100111000100100
Ma,10110001010100
Me,101010000100011111
Mi,1010100001010110000
Mo,100000010000110
Mu,11111000100001101101
Mы,111110001001101010100
N ,11111000100001010101
N',1111011011111010000
N.,1111011011110110101
NN,11111000100011010010
Na,01100111101111011
Ne,1010100001001111111
Ni,11110110111001110
No,1101101110100110
Oe,111110001001011001101
Oh,110111100100101100
Ol,111110001001101100111
On,10100111111101010
Ou,11111000100000111001
Oн,111110001001101011010
P.,111110001001011001111
PS,111110001001000101110
Pa,1111011011111001010
Pe,11100011110101100
Pi,10001001110101000
Po,00111111010011111
Pr,1010011110100101
Pu,11111000100000110010
Qu,1001010111010110
Ra,11111000100001011110
Ri,11111000100001100100
Ro,10001001110101111
Ru,01100111101111000
S ,111110001001010010101
S.,101010000100010101
SS,11111000100001010011
Sa,10001100010010000
Sc,11000000110100000
Sh,00010011111100110010
Si,00111111010011110
So,11100011110111110
Su,111110001000111101100
T.,111110001001010001100
Ta,11111000100010101001
Te,11111000100000110100
Th,1010100001011010101
To,10100111111101000
Tr,1010100001010011101
Tu,111110001001100110001
TО,00000011000000000100
Uf,111110001001001100010
Ul,1010100001011001111
Un,00111111010011001
Ur,1010100001010111110
V\r,000100111010001
V ,111110001001011110110
V.,11111000100010111001
VI,101110010001011
V],111110001000111110001
Ve,011011010100100110
Vi,10100111111110011
Vo,100100100010001
Vr,11111000100000011010
Wa,11111000100011011000
We,1111011011111100011
Wi,011011010100111000
X\r,1100100110100110
XI,101001111101101
XV,010110000011010
XX,1001010111011001
Xa,111110001001000010011
Ze,111110001001101101101
Zo,111110001001100101010
Zu,11111000100011101011
[A,111110001001101011101
[B,111110001001000000011
[«,00000011000000010000
[А,1010011111101001
[Б,1010011111100100
[В,1110101110000000
[Г,101010000100100101
[Д,0110011110101000
[Е,01100111101101111
[Ж,111110001001101010011
[З,101010000100000111
[И,10100111111100001
[К,1001010111011000
[Л,11111000100001100111
[М,0011111011111100
[Н,100101011100100
[О,010110000011001
[П,000000110011000
[Р,101010000100101111
[С,10001100010010011
[Т,110100110011111111
[У,110100111000000101
[Ф,111110001001101101000
[Х,1010100001010111010
[Ч,01100111101110011
[Э,1000100111001101
[Я,1010000001010100
[а,111110001001100011100
[б,01100111101111001
[в,0011111011111110
[г,1111011011111100101
[д,01101101010000111
[ж,11111000100011101000
[з,11111000100010110111
[и,101001111111110101
[к,00111111010010110
[л,1111100010000000011
[м,1100000000001001
[н,11000000000010111
[о,111101101110101100
[п,11100011110111100
[р,11111000100001011101
[с,0001001110111000
[т,1010100001010010010
[у,1010100001011001101
[ф,111110001001101100000
[х,111110001001010110010
[ч,1011000101011000011
[щ,111110001000111101110
[э,00000011000000000000
[„,111110001001011110111
]\r,11110101111001
] ,101010011011
]),111110001001010100000
"],",1010011111101100
].,110100111000101011
];,00000011000000011110
]?,111110001001100000110
`a,111110001001000011011
`i,111110001001101001011
`а,111110001001100111100
`з,111110001001101010101
`о,11111000100010011010
`у,111110001001001011100
a ,00010001110
a!,111110001001100011111
"a,",0011111011111111
a.,101010000100100110
a?,111110001001000010010
ab,111000000110011
ac,101001111101110
ad,100000011111101
ae,11111000100001010001
af,11100011110101111
ag,00001011011011
ah,011011010110001000
ai,110010000110
aj,11111000100001000110
ak,110100111000011110
al,11100100101110
am,11100111000111
an,011110110100
ap,100100100010000
aq,10100111111110100
ar,1111011010100
as,0111101110101
at,10101010111010
au,1010111100101
av,10111101010111
ax,111110001001101110001
ay,101010000100001001
az,1111011011111110100
a»,1010011110100100001
aл,111110001001101001100
aм,111110001000111111111
aн,111110001001100111000
a…,11111000100010111111
b ,1111011011110111000
b),111110001001101101011
ba,1111011010111101
bb,111110001001001111111
bc,11111000100000011101
be,110100110010000
bi,101011101001110
bl,01011000000111
bo,111001111111100
br,1110001111001101
bs,111101101110111100
bu,11111000100001110111
c ,001100000001011
c',100000010000000
"c,",111110001001100100011
ca,00111110110110
cc,11100011110111111
cd,111110001001000111000
ce,010001110111
ch,010111011111
ci,101100010111110
ck,111101101110111110
cl,00111111010010111
cn,111110001001001110110
co,001111101001
cq,101010000100101010
cr,011001111010001
ct,1001010111011100
cu,1100000000000000
cy,111110001001101100010
cв,111110001001100100101
cк,11111000100001001110
cл,11111000100000010011
cо,11111000100011011001
cт,11111000100010011011
cь,111110001001101011011
c…,11111000100000011110
d ,110000111111101
d!,111110001001100101000
d',01011000000101
d),111110001001010011111
"d,",10100111111110010
d.,11111000100011011010
d?,11111000100000111101
dI,111110001001000001101
da,01011000001000
de,01110001100
di,11100100101101
dl,111110001001001111110
dm,1111011011111010100
do,111101011001101
dr,01100111100010
ds,01101101010000011
du,01011000001001
dz,111110001001010010011
d“,111110001001100100010
e\r,1010100001011011000
e ,010110111
e!,011101001000111
e',11111000100001110011
e),111010111000111100
"e,",101010011010
e.,0000001100111
e:,1111011011111000011
e;,110100111000010001
e?,1110101110000010
eM,011011010100110011
ea,000000110010101
eb,101010000100001010
ec,11011011000010
ed,11100011110100110
ee,00000011110111
ef,1001010111100011
eg,000000110011011
eh,011011010100100100
ei,10011001011101
ej,110100111000010010
ek,111110001001001101001
el,1000000100101
em,0110001010011
en,10100000000
eo,0011111011110100
ep,100001010101100
eq,11111000100010001010
er,01011101110
es,10110111101
et,110010011011
eu,001000100100
ev,111000000110110
ew,111110001001011011001
ex,001111101110010
ez,1000100000100
e«,111110001001010011000
e»,0101100000111111
eг,111110001001101110111
eр,00000011000000000101
eх,111110001001100101011
e“,11111000100000101000
e„,111110001001010101010
e…,1100100110101110
f ,11010011001101001
"f,",110100111000101000
f.,011011010110000000
f?,11111000100001110001
fa,11011011000011
fe,111000111100010
ff,011101001010000
fi,110010011010000
fl,101010000100101110
fo,101000101101001
fr,1000000100001110
fs,1011000101011000100
ft,1011100100011110010
fu,111101101110110000
f…,111110001001010111101
g ,01101101010001001
g!,111110001001001011010
"g,",1010100001010101000
g.,011011010110010101
ga,1110001111001001
ge,0001001111100
gi,11100011110101011
gl,110100111000001000
gn,1001010111100010
go,110100110011111110
gr,101001111101111
gs,010010101011111011
gt,11111000100011100000
gu,010110000010110
g…,111110001001011011100
h ,1001010111101000
h!,1001010111011111
"h,",11010011001110011
h?,111110001001000011001
ha,01111011101110
he,1101101100011
hg,111110001001011111001
hi,010010101011100
hk,111110001001000111100
hl,1010100001010001011
hn,11111000100000111111
ho,01110100100000
hr,110111100100101101
ht,10100111101001001
hu,11100011110101110
hw,111110001001100000011
hа,10100111101001000000
h…,11111000100010011100
i ,1101111001110
i!,1010100001010000001
"i,",110000111111111
i.,11010011001110111
i;,1010100001011010001
i?,11111000100001011111
ia,1100100110101011
ib,1110001111010001
ic,10110001010111
id,010010101011110
ie,111110111100
if,11010010101100000
ig,1110001111010000
ih,00000011000000011101
ii,111110001001100001011
ik,11111000100001101100
il,1011001001101
im,111001111111101
in,010001111010
io,111101101010101
ip,111101101110101110
iq,1010011111101101
ir,1010101011100
is,100011111101
it,001111101000
iv,100010010011100
ix,11111000100010010011
iz,11111000100010111000
i…,1111011011111010001
j',0101100010100101
ja,1000000100010111
je,11101110101001
jo,000000111101100
ju,1011100100011110000
k ,11111000100010100110
"k,",1011000101011000001
k.,11111000100010000001
ka,111110001001011000011
ke,01000111110100000
ki,1010100001010001110
ko,101010000100011100
ks,11110110111001111
kt,11111000100000010111
ky,1111011011111100100
l ,0101110100111
l!,111110001001100111001
l',11101110010011
"l,",11000000000011100
l.,1010100001010111000
l;,111110001001101100011
l?,111110001001001101111
la,010001110000
lb,11111000100001101111
lc,11111000100011010101
ld,101010000100001100
le,10001100011
lg,011011010100111110
lh,101010000100001111
li,11000000110111
lk,00000011000000001000
ll,000000111110
lm,110100111000011001
lo,011001111010000
lp,111110001001101110100
lq,00111111011000110
lr,111110001001000101010
