Символ,Код
.И,111111111110111010100
.Н,11111111111000011000
.О,1111111111010111001
.С,111111111111001100101
.У,11111111111101001011
.в,11111111111101010001
.д,1111111111010010001
.к,111111111111011010101
.р,111111111111101010001
.с,1111111111101001110
0 ,11111010001000
0!,11111111111110011110
"0,",111111111010101101
0.,11111111110111100101
00,1111110101100000
05,11111110111110000
06,111111111001100110
07,1111111111010000011
08,1111111111100010011
09,11111111011101011
0–,111111111111011011000
1\r,1111111110111010100
1 ,1111111100010011
1),111111111011000011
"1,",111111111111011010000
1.,11111111111101000001
10,111111011101101
11,1111111110111000100
12,11111111011000011
13,1111111110110100001
14,111111111011111110
15,11111111001100011
16,111111111001010000
17,111111111011100011
18,111111001101000
19,111111111000010100
2\r,111111111111000100100
2 ,1111111010100001
2),111111111010101110
20,11111111000011000
21,111111111010100010
22,111111111111110011000
23,1111111111011011101
24,111111111011010111
25,1111111110111111000
26,11111111111111101011
27,1111111111001001001
28,1111111111010101101
3 ,1111111000001000
3),111111111011010011
30,1111111100001011
31,11111111111000110100
3а,111111111110110100101
3д,11111111111101011110
4 ,1111111011011111
4),1111111111101000011
4.,111111111110101111000
40,11111111010000111
43,1111111111000000101
5 ,111111011100001
5),111111111110110000101
50,11111111001111011
54,111111111111011111001
6 ,1111111000110100
6),11111111111100100111
6.,11111111111111000111
60,111111111010001011
68,1111111111010000010
7 ,1111111010111110
7),111111111111001010001
70,111111111001111001
73,1111111111001100110
8 ,1111111011001010
80,111111010011000
81,1111111111000000001
86,111111110111001001
87,1111111111000110101
88,111111111010111101
9 ,1111111010001000
:\r,11111001111100
: ,11100111001
:],111111111010100001
;\r,11111111110111111001
; ,1101110101
;],1111111111010000100
;q,11111111111011101101
?\r,111100101110
? ,11010101000
?!,11111111010101101
?.,11111111110110000000
?],1111110111011001
?u,1111111111101001101
?»,1111101011111
?Д,11111111111100110110
?“,111111111101000111
?…,11111011010101
A ,111111111000010011
A!,11111111111000000001
A?,11111111111110101110
AI,11111111111101000101
Ab,11111111111110100001
Ac,111111111111111010101
Ad,111111111000010000
Ah,1111111000111000
Al,1111111100001110
Am,1111111111100101001
An,111111010101111
Ap,11111111011011001
Ar,1111111111000110010
At,111111111100010001
Au,1111111011110111
Av,111111111111011110001
Ax,1111111111000100100
Ay,11111111111110011001
Aн,11111111111111010111
BT,111111111111010100100
Ba,111111110101101000
Be,111111111000010010
Bi,11111111111001010101
Bo,11111001110000
Br,1111111111001001010
Bu,111111111001101000
Bи,11111111111101001101
Bо,11111111111100001110
C',1111110111010000
Ca,111111111010011111
Ce,11111110111011001
Ch,11111111000111101
Co,11111111000000001
Da,1111111110110101001
De,11111111011000110
Di,1111111001000100
Do,111111111001101100
Du,11111111100010110
Ec,111111111111000000000
Eh,111111111010000100
El,1111111110110111001
Em,11111111000000011
En,1111111111000111000
Er,111111111110110101001
Et,11111110110100001
Eu,1111111111011010111
Ev,11111111111101001001
Fa,11111111111101110111
Fe,111111111001001000
Fi,11111111111001001000
Fl,111111111001110110
Fo,11111111111100100001
Fr,1111111110111010000
Fu,111111111111100100000
Ge,1111111011001001
Gl,11111111111100001111
Go,11111111111010111101
Gr,11111111111110000011
Ha,11111111111111111110
He,1111111110110101000
Hi,11111111111000010000
Ho,111111111011100110
Hy,1111111111101011001
Hа,111111111111101101000
